date,description,amount,direction,currency
11/1/2025,Stripe payout,450000,credit,NGN
11/2/2025,Office rent payment,200000,debit,NGN
11/3/2025,Google Workspace subscription,25000,debit,NGN
11/4/2025,Facebook Ads,120000,debit,NGN
11/5/2025,Salary payment - John,180000,debit,NGN
11/6/2025,Salary payment - Mary,180000,debit,NGN
11/7/2025,Canva subscription,15000,debit,NGN
11/8/2025,Client refund,50000,debit,NGN
11/10/2025,Stripe payout,600000,credit,NGN
11/12/2025,Internet service provider,30000,debit,NGN
11/14/2025,Consultant fee,100000,debit,NGN
11/18/2025,Flutterwave payout,350000,credit,NGN
11/20/2025,LinkedIn Ads,90000,debit,NGN
11/22/2025,Office supplies,45000,debit,NGN
11/25/2025,Unknown charge XYZ LTD,60000,debit,NGN
